model,zeroshot_source,property,locality,n_react,react_acc,react_finish_rate,n_zeroshot,zeroshot_acc,delta_pp
V4-Flash,matched (same session),degree_of_node_0,local,300,1.0000,1.0000,300,0.9933,+0.7
V4-Flash,matched (same session),edge_count,local,300,1.0000,1.0000,300,1.0000,+0.0
V4-Flash,matched (same session),is_bipartite,global,300,0.5767,0.5900,300,0.5567,+2.0
V4-Flash,matched (same session),is_planar,global,300,0.3500,0.3500,300,0.5900,-24.0
V4-Flash,matched (same session),diameter,global,300,0.1300,0.1300,300,0.3700,-24.0
V4-Flash,matched (same session),chromatic_number,global,300,0.0833,0.0833,300,0.2200,-13.7
Qwen3-32B,matched (same session),degree_of_node_0,local,300,0.9800,1.0000,300,0.9233,+5.7
Qwen3-32B,matched (same session),edge_count,local,300,1.0000,1.0000,300,1.0000,+0.0
Qwen3-32B,matched (same session),is_bipartite,global,300,0.3200,0.4567,300,0.5000,-18.0
Qwen3-32B,matched (same session),is_planar,global,300,0.3333,0.4500,300,0.5633,-23.0
Qwen3-32B,matched (same session),diameter,global,300,0.0533,0.0867,300,0.1600,-10.7
Qwen3-32B,matched (same session),chromatic_number,global,300,0.0700,0.1433,300,0.1800,-11.0
Llama4-Scout,matched (same session),degree_of_node_0,local,300,1.0000,1.0000,300,0.9067,+9.3
Llama4-Scout,matched (same session),edge_count,local,300,1.0000,1.0000,300,1.0000,+0.0
Llama4-Scout,matched (same session),is_bipartite,global,300,0.3500,0.7133,300,0.4933,-14.3
Llama4-Scout,matched (same session),is_planar,global,300,0.5267,0.8167,300,0.5200,+0.7
Llama4-Scout,matched (same session),diameter,global,300,0.1567,0.6233,300,0.2000,-4.3
Llama4-Scout,matched (same session),chromatic_number,global,300,0.1767,0.8133,300,0.1267,+5.0
Gemini2.5-FL,matched (same session),degree_of_node_0,local,300,1.0000,1.0000,300,0.9167,+8.3
Gemini2.5-FL,matched (same session),edge_count,local,300,1.0000,1.0000,300,0.9967,+0.3
Gemini2.5-FL,matched (same session),is_bipartite,global,300,0.5433,0.6067,300,0.5500,-0.7
Gemini2.5-FL,matched (same session),is_planar,global,300,0.1733,0.1967,300,0.5100,-33.7
Gemini2.5-FL,matched (same session),diameter,global,300,0.0300,0.0300,300,0.2867,-25.7
Gemini2.5-FL,matched (same session),chromatic_number,global,300,0.0700,0.0767,300,0.1633,-9.3
GPT-4.1-mini,matched (same session),degree_of_node_0,local,300,1.0000,1.0000,300,0.9567,+4.3
GPT-4.1-mini,matched (same session),edge_count,local,300,1.0000,1.0000,300,1.0000,+0.0
GPT-4.1-mini,matched (same session),is_bipartite,global,300,0.5133,0.5600,300,0.5433,-3.0
GPT-4.1-mini,matched (same session),is_planar,global,300,0.4133,0.5300,300,0.6133,-20.0
GPT-4.1-mini,matched (same session),diameter,global,300,0.0467,0.0600,300,0.3000,-25.3
GPT-4.1-mini,matched (same session),chromatic_number,global,300,0.0500,0.1433,300,0.1333,-8.3
V4-Pro*,matched (same session),degree_of_node_0,local,60,1.0000,1.0000,60,0.9667,+3.3
V4-Pro*,matched (same session),edge_count,local,60,1.0000,1.0000,60,1.0000,+0.0
V4-Pro*,matched (same session),is_bipartite,global,60,0.5167,0.5333,60,0.6000,-8.3
V4-Pro*,matched (same session),is_planar,global,60,0.3333,0.3500,60,0.6000,-26.7
V4-Pro*,matched (same session),diameter,global,60,0.1167,0.1500,60,0.2333,-11.7
V4-Pro*,matched (same session),chromatic_number,global,60,0.0833,0.1000,60,0.1667,-8.3
